song||Title,Genre,Band,Album,Label,Year:int,Length,Authors:*str
Yesterday,Rock,The Beatles,Help!,Capitol,1965,2:03 min,"Paul McCartney"
Imagine,Rock,John Lennon,Imagine,Apple,1971,3:03 min,"John Lennon, Yoko Ono"
Redemption Song,Reggae,Bob Marley and the Wailers,Uprising,Island/Tuff Gong,1980,3:49 min,"Bob Marley"
Mr. Tambourine Man,Folk,Bob Dylan,Bringing It All Back Home,Columbia,1965,5:29 min,"Bob Dylan"
Purple Haze,Rock,The Jimi Hendrix Experience,,Track/Reprise,1967,2:46 min,"Jimi Hendrix"
Ghetto Defendant,Punk,The Clash,Combat Rock,CBS/Epic,1982,4:45 min,"Joe Strummer, Mick Jones, Allen Ginsberg"
Wish You Were Here,Rock,Pink Floyd,Wish You Were Here,Harvest/Columbia,1975,5:41 min,"David Gilmour, Roger Waters"
Another Brick in the Wall,Rock,Pink Floyd,The Wall,Harvest/Columbia,1979,8:28 min,"Roger Waters"
Break On Through (To the Other Side),Rock,The Doors,The Doors,Elektra,1966,2:26 min,"The Doors"
The Happening,Rock,The Pixies,Bossanova,4AD/Elektra,1990,4:19 min,"Black Francis"
Come as You Are,Rock,Nirvana,Nevermind,DGC,1991,3:39 min,"Kurt Cobain"
Stripped,New Wave,Depeche Mode,Black Celebration,Mute,1986,4:14 min,"Martin Gore"
The Passenger,Punk,Iggy Pop,Lust for Life,RCA,1977,4:44 min,"Iggy Pop, Ricky Gardiner"
The Man Who Sold the World,Rock,David Bowie,The Man Who Sold the World,Mercury,1970,3:55 min,"David Bowie"
In Between Days,New Wave,The Cure,The Head on the Door,Fiction/Elektra,1985,2:57 min,"Robert Smith"
New Year's Day,Rock,U2,War,Island,1983,5:36,"U2"
Nantes,World,Beirut,The Flying Club Cup,Ba Da Bing!/4AD,2007,3:50 min,"Zach Condon"
Kipur (At the dawn),World,Light in Babylon,Life Sometimes Doesn't Gives You Space,,2013,5:18 min,"Solomon ibn Gabirol, Michal Elia Kamal, Metehan Çifçi, Julien Demarque"
Hope & Pray,Rock,The Underground Youth,Mademoiselle,,2010,03:15 min,"Craig Dyer"
Smalltown Boy,New Wave,Bronski Beat,The Age of Consent,London Records,1984,5:02 min,"Steve Bronski, Jimmy Somerville, Larry Steinbachek"
Johnny Come Home,New Wave,Fine Young Cannibals,Fine Young Cannibals,London Records,1985,3:37 min,"David Steele, Roland Gift"
Shout,New Wave,Tears for Fears,Songs from the Big Chair,Phonogram/Mercury,1984,6:31 min,"Roland Orzabal, Ian Stanley"
One Step Beyond,Ska,Madness,Madness,Stiff/Sire,1979,2:18 min,"Prince Buster, Cecil Campbell"
Sweet Dreams,New Wave,Eurythmics,Sweet Dreams,RCA,1983,3:36 min,"Annie Lennox, David A. Stewart"
Satellite of Love,Rock,Lou Reed,Transformer,RCA,1973,3:42 min,"Lou Reed"
Sub-culture,New Wave,New Order,Substance,Factory,1987,4:48 min,"Peter Hook, Gillian Gilbert, Stephen Morris, Bernard Sumner"
Tainted Love,New Wave,Soft Cell,Non-Stop Erotic Cabaret,Vertigo,1981,2:34 min,"Ed Cobb"
Relax,New Wave,Frankie Goes to Hollywood,Welcome to the Pleasuredome,ZTT/Island,1984,3:53 min,"Peter Gill, Holly Johnson, Brian Nash, Mark O'Toole"
Hotel California,Rock,The Eagles,Hotel California,Asylum,1976,6:30 min,"Don Felder, Don Henley, Glenn Frey"
Born to Run,Rock,Bruce Springsteen,Born To Run,Columbia,1975,4:31 min,"Bruce Springsteen"
Street Spirit (Fade Out),Rock,Radiohead,The Bends,Parlophone/Capitol,1995,4:12 min,"Radiohead"
Purple Rain,Rock,Prince,Purple Rain,Warner Bros,1984,8:41 min,"Prince Rogers Nelson"
Living in Another World,Rock,Talk Talk,The Colour of Spring,EMI/Parlophone,1986,6:58 min,"Tim Friese-Greene, Mark Hollis"
